               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.075077,            0.011214,                   0,             0.22926,             0.18474,             0.12334,            0.033384,             0.13721,            0.010327,                   0,            0.005402,            0.005402,            0.005402
                  40,            0.073344,            0.011018,                   0,             0.27754,             0.18737,             0.15615,            0.042634,             0.13733,            0.011053,                   0,            0.005281,            0.005281,            0.005281
                  41,            0.073664,            0.011024,                   0,             0.29765,             0.21763,             0.15842,            0.044639,             0.13381,            0.010841,                   0,             0.00516,             0.00516,             0.00516
                  42,            0.073615,            0.011011,                   0,             0.32873,             0.21763,             0.17495,            0.049262,             0.13497,            0.010701,                   0,            0.005039,            0.005039,            0.005039
                  43,            0.072342,            0.010884,                   0,             0.31477,             0.23023,             0.17243,            0.050118,             0.13611,            0.010473,                   0,            0.004918,            0.004918,            0.004918
                  44,            0.071321,            0.010775,                   0,             0.31522,             0.26242,             0.18985,            0.054188,              0.1352,            0.010885,                   0,            0.004797,            0.004797,            0.004797
                  45,            0.071674,            0.010696,                   0,             0.31695,             0.24213,             0.17727,            0.053031,             0.13389,            0.011208,                   0,            0.004676,            0.004676,            0.004676
                  46,            0.070252,            0.010583,                   0,             0.31623,             0.22463,             0.17796,            0.052751,             0.13804,            0.010733,                   0,            0.004555,            0.004555,            0.004555
                  47,             0.06959,            0.010491,                   0,             0.26528,             0.17915,             0.12303,            0.032933,              0.1408,            0.011417,                   0,            0.004434,            0.004434,            0.004434
                  48,            0.068175,             0.01051,                   0,             0.30665,             0.22463,             0.16679,            0.046246,             0.13893,            0.010926,                   0,            0.004313,            0.004313,            0.004313
                  49,            0.068721,            0.010425,                   0,              0.2877,             0.22463,             0.15813,             0.04479,             0.13804,            0.010753,                   0,            0.004192,            0.004192,            0.004192
                  50,            0.068539,            0.010479,                   0,             0.26393,             0.17565,             0.12635,            0.034108,             0.13831,            0.011697,                   0,            0.004071,            0.004071,            0.004071
                  51,            0.067598,             0.01039,                   0,             0.26297,             0.20644,             0.14981,            0.042983,             0.13886,            0.011077,                   0,             0.00395,             0.00395,             0.00395
                  52,            0.065769,            0.010132,                   0,             0.30528,             0.21763,             0.16526,            0.046307,              0.1356,            0.011395,                   0,            0.003829,            0.003829,            0.003829
                  53,            0.066211,            0.010132,                   0,             0.29616,             0.22393,             0.16482,            0.048114,             0.14192,            0.010395,                   0,            0.003708,            0.003708,            0.003708
                  54,            0.065391,            0.009986,                   0,             0.25472,             0.18404,             0.13368,            0.038002,             0.14433,            0.010802,                   0,            0.003587,            0.003587,            0.003587
                  55,            0.064232,            0.010051,                   0,             0.26939,             0.20014,             0.15097,            0.042318,               0.139,            0.010884,                   0,            0.003466,            0.003466,            0.003466
                  56,            0.063689,            0.009908,                   0,             0.27706,             0.18586,             0.14115,            0.039876,             0.14016,            0.011151,                   0,            0.003345,            0.003345,            0.003345
                  57,            0.063625,            0.009792,                   0,             0.30908,             0.19664,             0.15316,            0.043852,              0.1399,            0.011425,                   0,            0.003224,            0.003224,            0.003224
                  58,            0.062662,           0.0098761,                   0,             0.30399,             0.20714,             0.16271,            0.049958,             0.13833,            0.011242,                   0,            0.003103,            0.003103,            0.003103
                  59,            0.062442,           0.0097206,                   0,             0.28955,             0.20364,             0.15719,             0.04772,             0.14117,            0.010869,                   0,            0.002982,            0.002982,            0.002982
                  60,            0.061639,           0.0095548,                   0,             0.26686,             0.20574,             0.15006,            0.045877,             0.13807,            0.011661,                   0,            0.002861,            0.002861,            0.002861
                  61,            0.061532,           0.0095655,                   0,             0.29549,             0.20644,             0.14408,             0.04306,             0.14157,            0.011432,                   0,             0.00274,             0.00274,             0.00274
                  62,            0.061328,           0.0096258,                   0,             0.31693,             0.18754,             0.14779,             0.04318,             0.13763,            0.012332,                   0,            0.002619,            0.002619,            0.002619
                  63,            0.061041,           0.0094935,                   0,             0.28069,             0.20014,              0.1438,            0.044149,              0.1373,            0.011863,                   0,            0.002498,            0.002498,            0.002498
                  64,            0.059788,           0.0094641,                   0,              0.2629,             0.17775,             0.13504,            0.040186,             0.13934,            0.011852,                   0,            0.002377,            0.002377,            0.002377
                  65,            0.058831,           0.0092522,                   0,             0.29941,             0.20434,             0.14481,              0.0469,             0.13614,            0.011889,                   0,            0.002256,            0.002256,            0.002256
                  66,            0.058416,           0.0091778,                   0,               0.316,             0.19172,             0.15152,            0.046613,              0.1354,            0.012473,                   0,            0.002135,            0.002135,            0.002135
                  67,            0.058276,           0.0092005,                   0,             0.27716,             0.18125,             0.13474,            0.040413,             0.13817,            0.012415,                   0,            0.002014,            0.002014,            0.002014
                  68,            0.057938,           0.0093359,                   0,             0.29767,             0.18404,             0.13314,            0.037495,             0.13738,            0.012122,                   0,            0.001893,            0.001893,            0.001893
                  69,            0.057174,           0.0090916,                   0,             0.28764,             0.16585,             0.12808,            0.037495,               0.138,            0.012619,                   0,            0.001772,            0.001772,            0.001772
                  70,            0.056539,           0.0091565,                   0,             0.31464,             0.18754,             0.14465,            0.042493,              0.1373,            0.012641,                   0,            0.001651,            0.001651,            0.001651
                  71,            0.056148,           0.0089308,                   0,             0.29855,             0.18348,             0.14114,            0.041843,             0.13719,            0.012765,                   0,             0.00153,             0.00153,             0.00153
                  72,            0.055454,           0.0090258,                   0,             0.31959,             0.18334,              0.1463,            0.042433,             0.13799,            0.012652,                   0,            0.001409,            0.001409,            0.001409
                  73,            0.055429,           0.0088268,                   0,             0.29632,             0.17298,             0.13292,            0.039174,             0.13809,            0.012784,                   0,            0.001288,            0.001288,            0.001288
                  74,            0.054532,           0.0087435,                   0,             0.30376,             0.16235,             0.12926,            0.040264,             0.13787,            0.012894,                   0,            0.001167,            0.001167,            0.001167
                  75,            0.054183,           0.0087877,                   0,             0.30259,             0.16515,             0.12983,            0.039766,             0.13762,            0.012791,                   0,            0.001046,            0.001046,            0.001046
                  76,            0.053114,           0.0086609,                   0,             0.31147,             0.18404,             0.14366,            0.043648,             0.13701,            0.012965,                   0,            0.000925,            0.000925,            0.000925
                  77,            0.052679,           0.0086902,                   0,             0.29549,             0.16655,             0.12787,            0.039186,             0.13727,            0.013272,                   0,            0.000804,            0.000804,            0.000804
                  78,            0.052682,           0.0086483,                   0,             0.28139,             0.15675,             0.12015,            0.035984,             0.13763,            0.013301,                   0,            0.000683,            0.000683,            0.000683
                  79,            0.051714,           0.0085938,                   0,             0.25298,             0.14136,              0.1185,            0.036803,             0.13737,             0.01339,                   0,            0.000562,            0.000562,            0.000562
